iter	Passed	Remaining
463	756	874
464	757	871
465	759	869
466	760	867
467	761	865
468	762	863
469	764	861
470	764	859
471	765	856
472	767	854
473	768	852
474	769	850
475	770	848
476	771	846
477	772	844
478	774	841
479	775	839
480	776	838
481	778	836
482	779	834
483	780	832
484	781	830
485	782	827
486	784	825
487	785	823
488	786	821
489	787	819
490	788	817
491	789	815
492	790	813
493	791	811
494	793	809
495	794	806
496	795	804
497	796	802
498	797	800
499	798	798
500	799	796
501	800	794
502	802	792
503	803	790
504	804	788
505	805	786
506	807	784
507	808	783
508	809	780
509	811	779
510	812	777
511	813	775
512	814	773
513	815	771
514	816	769
515	818	767
516	819	765
517	820	763
518	821	761
519	822	759
520	824	757
521	825	756
522	826	754
523	827	751
524	829	750
525	830	748
526	831	746
527	832	744
528	834	742
529	835	740
530	836	738
531	837	737
532	838	735
533	839	732
534	841	731
535	842	729
536	843	727
537	844	725
538	845	723
539	846	721
540	847	719
541	849	717
542	850	715
543	851	713
544	852	711
545	853	709
546	854	707
547	856	706
548	857	704
549	858	702
550	860	700
551	861	699
552	862	697
553	863	695
554	864	693
555	866	691
556	867	690
557	868	688
558	869	686
559	870	683
560	871	682
561	873	680
562	874	678
563	875	676
564	876	674
565	877	673
566	879	671
567	880	669
568	881	667
569	882	665
570	883	664
571	885	662
572	886	660
573	887	658
574	888	656
575	890	655
576	891	653
577	892	651
578	893	649
579	894	647
580	895	646
581	897	644
582	898	642
583	900	641
584	901	639
585	902	637
586	904	636
587	905	634
588	907	632
589	908	631
590	909	629
591	911	627
592	912	625
593	913	624
594	914	622
595	915	620
596	916	618
597	917	616
598	918	615
599	919	613
600	920	611
601	922	609
602	923	607
603	924	605
604	925	604
605	926	602
606	928	600
607	929	599
608	930	597
609	931	595
610	932	593
611	933	592
612	935	590
613	935	588
614	937	586
615	938	585
616	939	583
617	940	581
618	941	579
619	943	577
620	944	576
621	945	574
622	946	572
623	947	571
624	948	569
625	949	567
626	950	565
627	951	563
628	953	562
629	953	560
630	954	558
631	955	556
632	957	555
633	958	553
634	960	551
635	961	550
636	962	548
637	963	546
638	964	544
639	965	543
640	966	541
641	968	539
642	969	538
643	970	536
644	971	534
645	972	533
646	973	531
647	974	529
648	976	527
649	977	526
650	979	524
651	980	523
652	981	521
653	982	519
654	983	518
655	985	516
656	986	515
657	988	513
658	989	511
659	990	510
660	991	508
661	993	507
662	994	505
663	995	503
664	996	502
665	998	500
666	999	499
667	1000	497
668	1002	495
669	1003	494
670	1005	492
671	1006	491
672	1008	489
673	1009	488
674	1010	486
675	1011	485
676	1013	483
677	1014	481
678	1015	480
679	1016	478
680	1018	476
681	1018	475
682	1020	473
683	1021	471
684	1022	470
685	1024	468
686	1025	467
687	1026	465
688	1028	464
689	1029	462
690	1030	460
691	1032	459
692	1034	458
693	1035	456
694	1036	454
695	1037	453
696	1039	451
697	1041	450
698	1042	449
699	1044	447
700	1045	445
701	1046	444
702	1047	442
703	1049	441
704	1051	439
705	1052	438
706	1053	436
707	1054	435
708	1056	433
709	1057	431
710	1058	430
711	1059	428
712	1061	427
713	1061	425
714	1063	423
715	1064	422
716	1065	420
717	1066	419
718	1067	417
719	1069	415
720	1070	414
721	1071	412
722	1073	411
723	1074	409
724	1075	408
725	1076	406
726	1078	404
727	1079	403
728	1080	401
729	1081	400
730	1083	398
731	1084	397
732	1085	395
733	1086	393
734	1088	392
735	1089	390
736	1090	389
737	1091	387
738	1092	385
739	1093	384
740	1095	382
741	1096	381
742	1097	379
743	1098	378
744	1099	376
745	1101	374
746	1102	373
747	1103	371
748	1104	370
749	1105	368
750	1106	366
